txn_id,date,account_id,counterparty,description,amount,currency
TXN-P3-0042,2025-03-23,ACC-7803,Bridgeport Courier Solutions (Kostanay centre),Rent for archive premises — period 01,-1150561.42,USD
TXN-9661-0030,2025-03-24,ACC-9661,Foxridge Stationery (Semey base),Interest on trade facility — Taraz site,-183576.31,USD
TXN-P4-0015,2025-03-24,ACC-7804,Oakmont Property Management,Telecom service credit received — Pavlodar block 2025,1113342.05,USD
TXN-9031-0023,2025-03-25,ACC-9031,Cedarville Tax Advisory Partners,Printed marketing collateral run — Zhezkazgan compound,-502557.19,USD
TXN-9268-0032,2025-03-25,ACC-9268,Foxridge Telecom LP (Aktobe hub),Electricity network capacity charge — November,-1566529.76,USD
TXN-9727-0023,2025-03-25,ACC-9727,Bridgeport Telecom Holdings (Ekibastuz block B),Cyber insurance premium — Uralsk annex 2025,-6260519.20,USD
TXN-P2-0022,2025-03-25,ACC-7802,Dunmore Tax Advisory Group JSC (Karaganda yard),Interest credited on current account — Kostanay centre 2025,2083129.43,USD
TXN-P8-0013,2025-03-25,ACC-7808,Bridgeport Uniforms Trust (Kostanay centre),Marketing overbilling refund — period 04,3031930.94,USD
TXN-9249-0008,2025-03-26,ACC-9249,Ashford Courier Trust Enterprise,Rent overpayment refunded — August,620429.09,USD
TXN-9345-0037,2025-03-26,ACC-9345,Juniper Waste Systems Services (Pavlodar block),"Interest on bridge facility — Oskemen unit, Q4",-1227014.14,USD
TXN-9792-0043,2025-03-26,ACC-9792,Sterling Office Solutions,Corporate brand marketing programme — H2 2025,-1699925.53,USD
TXN-9916-0041,2025-03-26,ACC-9916,Kingsley Insurance Associates Trading House,Payroll advance recovered from staff — H2,141097.90,USD
TXN-9946-0027,2025-03-26,ACC-9946,Ashford Payroll Partners (Zhezkazgan compound),Environmental emissions tax — August 2025,-1212122.73,USD
TXN-9663-0037,2025-03-27,ACC-9663,Hartley Telecom Co (Kyzylorda station),"Workers comp insurance — Turkistan point, Q4",-215983.07,USD
TXN-P7-0031,2025-03-27,ACC-7807,Atyrau Pump Station Services LLP,Pump station servicing and operating costs 2025,-6418003.77,USD
TXN-9198-0028,2025-03-28,ACC-9198,Glenwood Leasing Holdings,Rent deposit returned — Kyzylorda station,311825.15,USD
TXN-9207-0046,2025-03-28,ACC-9207,Glenwood Supply LLC (Ekibastuz block B),Vehicle livery marketing application — Q4,-9498777.06,USD
TXN-9678-0010,2025-03-28,ACC-9678,Foxridge Telecom LP,Marine cargo insurance premium — Q2,-2134249.19,USD
TXN-P1-0006,2025-03-28,ACC-7801,Cedarville Utility Ltd,"VAT refund received — Oskemen unit, June 2025",3045764.68,USD
TXN-P5-0011,2025-03-28,ACC-7805,Ironwood Office Supplies Group (Kyzylorda station),Electricity network capacity charge — Turkistan point,-2275280.58,USD
TXN-9246-0020,2025-03-29,ACC-9246,Riverside Realty Trust LLP,"Franchise tax filing — Taraz site, August",-4818237.35,USD
TXN-9541-0041,2025-03-30,ACC-9541,Dunmore Facilities Associates Works,Point-of-sale marketing materials — September,-1221753.21,USD
TXN-9738-0006,2025-03-31,ACC-9738,Bridgeport Security Associates (Zhezkazgan compound),Advance profit tax instalment 2025,-109503.40,USD
TXN-P7-0002,2025-03-31,ACC-7807,Oakmont Property Management (Ekibastuz block B),"Lease incentive received — Taraz site, final call",3450194.70,USD
TXN-9988-0040,2025-04-01,ACC-9988,Eastgate Building Services Associates Trading House,Lease incentive received — Kostanay centre,798615.20,USD
TXN-P10-0059,2025-04-01,ACC-7810,Glenwood Janitorial LP (Oskemen unit),Outdoor marketing site hire — instalment 2 2025,-7141284.38,USD
TXN-P6-0008,2025-04-01,ACC-7806,Juniper Uniforms Co Company,"Lease incentive received — Kostanay centre, March 2025",168948.43,USD
TXN-P8-0023,2025-04-01,ACC-7808,Juniper Landscaping LLC Service Centre,VAT refund received — December,1670416.50,USD
TXN-P2-0033,2025-04-02,ACC-7802,Eastgate Stationery LLC Enterprise,"Municipal tax levy — Almaty office, Q1",-2212134.41,USD
TXN-P9-0012,2025-04-02,ACC-7809,Kazakhmys Smelting JSC,Ore haulage sales settlement 2025,8442118.53,USD
TXN-9985-0044,2025-04-03,ACC-9985,Glenwood Utility Associates (Semey base),Water charge adjustment credit,1006264.37,USD
TXN-B4-0035,2025-04-03,ACC-7204,Eastgate Landscaping LP Works (Aktobe hub),Payroll for security detail — Q3,-4095362.14,USD
TXN-P1-0049,2025-04-03,ACC-7801,Eastgate Power Inc (Atyrau terminal),"Utility rebate received — Oskemen unit, January 2025",289816.92,EUR
TXN-9085-0043,2025-04-04,ACC-9085,Eastgate Security Holdings (Pavlodar block),"Marketing research panel subscription — Semey base, H2",-8596284.73,USD
TXN-9158-0021,2025-04-04,ACC-9158,Eastgate Power Inc Group,Monthly payroll disbursement — October 2025,-7317645.91,USD
TXN-9881-0027,2025-04-04,ACC-9881,Cedarville Building Services LLC (Uralsk annex),"Franchise tax filing — Oskemen unit, October 2025",-210911.06,USD
TXN-P3-0039,2025-04-04,ACC-7803,Cedarville Utility Ltd Enterprise (Semey base),Use tax payment — Pavlodar block 2025,-421727.66,USD
TXN-P4-0050,2025-04-04,ACC-7804,Kingsley Utility Services Supply,Payroll for administrative staff — Q3,-256282.03,USD
TXN-9023-0035,2025-04-05,ACC-9023,Eastgate Security Holdings (Taraz site),"Antenna mast lease — Uralsk annex, period 01 2025",-7691270.90,USD
TXN-9264-0015,2025-04-05,ACC-9264,Hartley Uniforms LP (Ekibastuz block B),Credit facility interest — Taraz site 2025,-262433.92,USD
TXN-9402-0023,2025-04-05,ACC-9402,Cedarville Tax Advisory Partners (Shymkent depot),Payroll advance recovered from staff — H2 2025,260483.43,USD
TXN-9729-0025,2025-04-05,ACC-9729,Juniper Utility Holdings JSC (Shymkent depot),"Storage unit rent — Zhezkazgan compound, H1 2025",-10271517.77,USD
TXN-9888-0036,2025-04-05,ACC-9888,Eastgate Facilities Trust (Turkistan point),Payroll bonus disbursement,-1555385.95,USD
TXN-P1-0034,2025-04-05,ACC-7801,Foxridge Catering Partners (Kostanay centre),Workers comp insurance — September 2025,-798220.24,USD
TXN-P9-0018,2025-04-05,ACC-7809,Trident Power Cooperative JSC (Karaganda yard),"Rent overpayment refunded — Shymkent depot, H2",769698.08,USD
TXN-9573-0015,2025-04-06,ACC-9573,Ashford Janitorial Trust (Uralsk annex),Overdraft interest — Astana branch,-2763117.33,USD
TXN-9961-0010,2025-04-06,ACC-9961,Glenwood Security Partners (Turkistan point),Warehouse lease — Karaganda yard 2025,-210692.81,USD
TXN-P1-0009,2025-04-06,ACC-7801,Juniper Telecom Inc Trading House (Karaganda yard),Payroll clearing account sweep back — Ekibastuz block B 2025,5085393.95,USD
TXN-P10-0001,2025-04-06,ACC-7810,Dunmore Stationery Inc (Zhezkazgan compound),Interest income on treasury bills — period 04 2025,9427346.24,USD
TXN-P10-0018,2025-04-06,ACC-7810,Ashford Realty Ltd (Taraz site),"Capitalised interest charge — Aktobe hub, period 02 2025",-8250780.17,USD
TXN-P9-0014,2025-04-06,ACC-7809,Ironwood Janitorial Co Company,Rent overpayment refunded — Almaty office,1658141.07,USD
TXN-P9-0028,2025-04-06,ACC-7809,Hartley Consulting LLC,Ground lease instalment — October,-1737553.39,USD
TXN-P9-0054,2025-04-06,ACC-7809,Eastgate Security Holdings (Atyrau terminal),Hourly staff payroll — Shymkent depot,-5269798.67,USD
TXN-9026-0015,2025-04-07,ACC-9026,Foxridge Realty Trust Trading House (Zhezkazgan compound),Bi-weekly payroll run — August,-8617971.10,USD
TXN-9433-0035,2025-04-07,ACC-9433,Dunmore Insurance LP Supply (Ekibastuz block B),Interest income on term deposit — July 2025,434054.65,USD
TXN-9549-0049,2025-04-07,ACC-9549,Glenwood Logistics,Cold store lease — Oskemen unit,-3547495.91,USD
TXN-9652-0002,2025-04-07,ACC-9652,Eastgate Maintenance Solutions Service Centre (Ekibastuz block B),"District heating utility charge — Shymkent depot, H2 2025",-12858997.01,USD
TXN-9889-0048,2025-04-07,ACC-9889,Acme Office Supplies (Astana branch),Interest on finance sublease — Pavlodar block,-825267.54,USD
TXN-9010-0046,2025-04-08,ACC-9010,Dunmore Facilities Associates,Telecom mobile fleet plan — Taraz site,-584663.52,USD
TXN-9024-0040,2025-04-08,ACC-9024,Hartley Stationery Trust (Zhezkazgan compound),Land tax instalment 2025,-2965603.18,USD
TXN-9107-0010,2025-04-08,ACC-9107,Glenwood Uniforms Group Enterprise,Product launch ad campaign — Turkistan point 2025,-2229678.93,USD
TXN-9188-0029,2025-04-08,ACC-9188,Dunmore Utility Inc Enterprise (Aktobe hub),"Customer newsletter marketing production — Taraz site, December 2025",-11027357.02,USD
TXN-9653-0014,2025-04-08,ACC-9653,Juniper Utility Holdings Company (Turkistan point),Marketing co-operative funding received — Q4,11784685.08,USD
TXN-9751-0007,2025-04-08,ACC-9751,Ashford Landscaping Holdings Enterprise (Semey base),"Lease incentive received — Almaty office, February 2025",10682952.61,USD
TXN-9856-0034,2025-04-08,ACC-9856,Eastgate Cleaning Corp (Oskemen unit),"Retail unit rent — Oskemen unit, final call",-10654129.17,USD
TXN-9981-0004,2025-04-08,ACC-9981,Hartley Supply (Astana branch),Fidelity bond insurance — March,-2692869.72,USD
TXN-P1-0015,2025-04-08,ACC-7801,Ironwood Telecom Ltd,"Interest on bilateral facility — Kyzylorda station, November 2025",-1648814.64,USD
TXN-P10-0042,2025-04-08,ACC-7810,Hartley Property Solutions (Uralsk annex),Trade press marketing insertion — April,-7753648.35,USD
TXN-P3-0003,2025-04-08,ACC-7803,Ashford Leasing Inc Service Centre (Semey base),"Payroll for administrative staff — Kostanay centre, period 02",-2169716.95,USD
TXN-P3-0055,2025-04-08,ACC-7803,Cedarville Power Co,VAT instalment — March,-581776.66,USD
TXN-P4-0054,2025-04-08,ACC-7804,Aktobe Elevator Services LLP,Terminal servicing and operating costs 2025,-4431662.19,USD
TXN-P7-0038,2025-04-08,ACC-7807,Summit Telecom Group Company,"Executive payroll run — Astana branch, period 03",-6898199.03,USD
TXN-9091-0020,2025-04-09,ACC-9091,Dunmore Cleaning LP (Kyzylorda station),"Sewer discharge levy — Oskemen unit, December 2025",-1631818.93,USD
TXN-9173-0016,2025-04-09,ACC-9173,Juniper Building Services Partners (Uralsk annex),Insurance broker rebate — February 2025,3967301.74,USD
TXN-P10-0020,2025-04-09,ACC-7810,Karaganda Terminal Personnel LLP,Terminal staff payroll disbursement 2025,-1204118.53,USD
TXN-P10-0034,2025-04-09,ACC-7810,Ashford Utility Corp (Shymkent depot),Marketing agency creative fees — H1,-1089287.71,USD
TXN-P4-0010,2025-04-09,ACC-7804,Hartley Landscaping Ltd,Rent for regional office — November 2025,-5441959.99,USD
TXN-9136-0030,2025-04-10,ACC-9136,Kingsley Office Supplies Corp Enterprise,"Hourly staff payroll — Semey base, September 2025",-287873.34,USD
TXN-9578-0031,2025-04-10,ACC-9578,Dunmore Building Services LLP,Payroll advance recovered from staff — August 2025,765161.85,USD
TXN-9937-0036,2025-04-10,ACC-9937,Foxridge Supply Inc (Aktobe hub),Trade press marketing insertion — H2,-1833606.70,USD
TXN-9968-0032,2025-04-10,ACC-9968,Bridgeport Maintenance Service Centre (Pavlodar block),Sewer discharge levy — period 01,-718992.84,USD
TXN-9987-0028,2025-04-10,ACC-9987,Glenwood Water Works LLC Supply (Zhezkazgan compound),Marketing co-operative funding received — Oskemen unit 2025,1157480.32,USD
TXN-9565-0028,2025-04-11,ACC-9565,Hartley Catering LP,Accrued interest payment — instalment 2,-2685222.34,USD
TXN-P1-0003,2025-04-11,ACC-7801,Ashford Supply Group Company,Default interest charge — Kyzylorda station,-237578.58,USD
TXN-P1-0054,2025-04-11,ACC-7801,Ironwood Insurance LLC (Semey base),Vehicle tax payment — Ekibastuz block B,-9798966.39,USD
TXN-9428-0009,2025-04-12,ACC-9428,Juniper Water Works Trust Service Centre (Kostanay centre),Sponsorship marketing of regional sports club — Q3,-1981768.38,USD
TXN-B4-0044,2025-04-12,ACC-7204,Ashford Uniforms Associates,Rent for training centre — Ekibastuz block B 2025,-1443998.23,USD
TXN-P10-0024,2025-04-12,ACC-7810,Cedarville Waste Systems Inc Partners (Karaganda yard),Interest on trade facility — Taraz site,-554670.12,USD
TXN-P10-0036,2025-04-12,ACC-7810,Kingsley Tax Advisory,Marketing photography and artwork — Uralsk annex 2025,-14351927.14,USD
TXN-P2-0035,2025-04-12,ACC-7802,Cedarville Landscaping Partners (Karaganda yard),"Warehouse contents insurance — Kostanay centre, November 2025",-2241407.97,USD
TXN-P4-0055,2025-04-12,ACC-7804,Glenwood Catering Group,Corporate income tax instalment — January,-130150.18,USD
TXN-P8-0008,2025-04-12,ACC-7808,Bridgeport Power Corp (Taraz site),Excise tax payment — December,-14664945.37,USD
TXN-P8-0055,2025-04-12,ACC-7808,Juniper Logistics Solutions JSC (Karaganda yard),Office rent — Shymkent depot,-412328.26,USD
TXN-9511-0036,2025-04-13,ACC-9511,Foxridge Facilities Solutions (Ekibastuz block B),"Rent for archive premises — Kyzylorda station, H1 2025",-420104.28,USD
TXN-9727-0010,2025-04-13,ACC-9727,Dunmore Building Services,Withholding tax reclaim received — Q3,282914.71,USD
TXN-9775-0014,2025-04-13,ACC-9775,Cedarville Logistics Co,"Rent for archive premises — Aktobe hub, Q1",-5740001.87,USD
TXN-9276-0013,2025-04-14,ACC-9276,Glenwood Cleaning Ltd Group (Turkistan point),Insurance claim reimbursement — Q1,9106954.26,USD
TXN-9505-0038,2025-04-14,ACC-9505,Ashford Stationery Corp Holding (Zhezkazgan compound),Sublet rent received — February 2025,299072.04,USD
TXN-9554-0021,2025-04-14,ACC-9554,Maple Grove Telecom Supply,Water charge adjustment credit — Karaganda yard,459540.74,USD
TXN-P9-0013,2025-04-14,ACC-7809,Foxridge Cleaning Co (Taraz site),Unearned insurance premium return — Semey base 2025,1159582.85,USD
TXN-P1-0055,2025-04-15,ACC-7801,Ashford Supply Group Company,Trade press marketing insertion,-9623763.90,USD
TXN-9885-0039,2025-04-16,ACC-9885,Cedarville Office Supplies Associates,Warehouse contents insurance — Zhezkazgan compound 2025,-8243554.25,USD
TXN-9909-0001,2025-04-16,ACC-9909,Glenwood Office Supplies Services Company (Oskemen unit),Corporate income tax instalment — Shymkent depot 2025,-5322079.69,USD
TXN-9913-0034,2025-04-16,ACC-9913,Dunmore Supply Co (Taraz site),Rent for training centre — instalment 3 2025,-431471.21,USD
TXN-9937-0022,2025-04-16,ACC-9937,Foxridge Facilities Solutions Holding,Property tax rebate — Turkistan point 2025,1348827.33,USD
TXN-P6-0041,2025-04-16,ACC-7806,Taraz Kiln Services LLP,Kiln servicing and operating costs 2025,-4204663.19,USD
TXN-9123-0023,2025-04-17,ACC-9123,Cedarville Office Supplies Associates (Uralsk annex),Ground lease instalment,-8154471.80,USD
TXN-9593-0043,2025-04-17,ACC-9593,Hartley Tax Advisory Ltd (Ekibastuz block B),"Telecom service credit received — Karaganda yard, April 2025",2717243.91,USD
TXN-9759-0038,2025-04-17,ACC-9759,Dunmore Telecom Partners (Turkistan point),Industry exhibition stand marketing,-2279654.74,USD
TXN-9763-0027,2025-04-17,ACC-9763,Ironwood Office Supplies Group Supply (Uralsk annex),Marketing volume rebate — Pavlodar block,5078897.71,USD
TXN-9786-0021,2025-04-17,ACC-9786,Dunmore Security Solutions (Ekibastuz block B),Corporate income tax instalment — Kostanay centre,-416136.16,USD
TXN-9857-0003,2025-04-17,ACC-9857,Cedarville Uniforms Solutions Holding (Kostanay centre),"Interest recovery on overpayment — Uralsk annex, May 2025",2049956.30,USD
TXN-B1-0007,2025-04-17,ACC-7201,Glenwood Security Partners Group (Atyrau terminal),Regional marketing campaign production — Almaty office,-4274240.02,USD
TXN-9121-0038,2025-04-18,ACC-9121,Kingsley Facilities LP Service Centre,Insurance claim reimbursement — Shymkent depot 2025,154989.39,USD
TXN-9173-0018,2025-04-18,ACC-9173,Bridgeport Power Corp (Karaganda yard),Utility metering charge,-655224.86,EUR
TXN-P1-0023,2025-04-18,ACC-7801,Bridgeport Consulting Group (Kostanay centre),Quarterly estimated tax — Kyzylorda station 2025,-16437674.68,USD
TXN-9877-0045,2025-04-19,ACC-9877,Bridgeport Uniforms Trust Service Centre,"Customer newsletter marketing production — Turkistan point, September 2025",-513461.39,USD
TXN-B1-0018,2025-04-19,ACC-7201,Hartley Catering LP Supply,Depot yard rent — Pavlodar block,-1832832.89,USD
TXN-P6-0014,2025-04-19,ACC-7806,Hartley Supply Service Centre (Atyrau terminal),Cold store lease — instalment 1,-322203.44,USD
TXN-9098-0043,2025-04-20,ACC-9098,Globex Telecom (Oskemen unit),"Warehouse lease — Oskemen unit, final call",-10401451.58,USD
TXN-P7-0019,2025-04-20,ACC-7807,Riverside Realty Trust,Office rent — July,-250594.53,USD
TXN-P7-0010,2025-04-21,ACC-7807,State Revenue Committee,Corporate income tax instalment 2025,-402118.64,USD
TXN-P9-0024,2025-04-22,ACC-7809,Bridgeport Building Services Inc,"Professional indemnity insurance — Almaty office, period 01 2025",-2416937.23,USD
TXN-9142-0015,2025-04-23,ACC-9142,Glenwood Supply LLC,"Professional indemnity insurance — Almaty office, period 01 2025",-1510378.90,USD
TXN-9268-0004,2025-04-23,ACC-9268,Juniper Facilities Group (Zhezkazgan compound),Telecom leased line — Almaty office 2025,-5005498.08,USD
TXN-9274-0002,2025-04-23,ACC-9274,Eastgate Tax Advisory LP,"Municipal tax levy — Pavlodar block, December 2025",-586652.60,USD
TXN-P2-0036,2025-04-23,ACC-7802,Ural Refrigeration Works LLP,Purchase of blast freezer equipment,-3204881.55,USD
TXN-P10-0040,2025-04-24,ACC-7810,Cedarville Landscaping Partners (Kostanay centre),Industry exhibition stand marketing — Zhezkazgan compound,-9073805.60,USD
TXN-9595-0017,2025-04-25,ACC-9595,Eastgate Insurance Corp,Bi-weekly payroll run — Atyrau terminal 2025,-151257.20,USD
TXN-P2-0053,2025-04-25,ACC-7802,Juniper Property Services (Taraz site),"Marketing volume rebate — Semey base, April",2003454.47,USD
TXN-9290-0050,2025-04-26,ACC-9290,Globex Telecom LLP,Interest income on treasury bills — February,3859216.61,USD
TXN-9981-0028,2025-04-26,ACC-9981,Sentinel Insurance Group JSC (Uralsk annex),"Hourly staff payroll — Taraz site, period 04",-418363.61,USD
TXN-B4-0017,2025-04-26,ACC-7204,Hartley Consulting LLC (Taraz site),Tax penalty settlement charge — Kostanay centre,-208965.57,USD
TXN-P8-0021,2025-04-26,ACC-7808,Cedarville Cleaning Group,Interest on export credit line — Kyzylorda station,-656000.44,USD
TXN-B1-0047,2025-04-27,ACC-7201,Juniper Cleaning (Semey base),Depot yard rent — H1 2025,-13167834.89,USD
TXN-9423-0032,2025-04-28,ACC-9423,Hartley Insurance Inc (Turkistan point),Digital media buy — search — Almaty office,-14584378.52,USD
TXN-P4-0019,2025-04-28,ACC-7804,Foxridge Cleaning Co (Zhezkazgan compound),"Telecom mobile fleet plan — Aktobe hub, Q1 2025",-1200898.70,USD
TXN-P5-0006,2025-04-28,ACC-7805,Cedarville Printing Services Partners,Environmental liability insurance,-588857.22,USD
TXN-9109-0033,2025-04-29,ACC-9109,Bridgeport Cleaning Partners Trading House,Executive payroll run — Zhezkazgan compound 2025,-1995329.85,USD
TXN-9305-0027,2025-04-29,ACC-9305,Bridgeport Uniforms Trust Ltd,Quarterly estimated tax — November 2025,-375111.18,USD
TXN-9576-0022,2025-04-29,ACC-9576,Cedarville Printing Services,Credit facility interest — Aktobe hub 2025,-8046971.09,USD
TXN-P8-0006,2025-04-29,ACC-7808,Globex Telecom (Kostanay centre),"Travel insurance for staff — Astana branch, instalment 2",-14750061.50,USD
TXN-P8-0028,2025-04-29,ACC-7808,Ashford Cleaning Services (Aktobe hub),"Natural gas utility — Shymkent depot, March",-2203370.15,USD
TXN-9478-0014,2025-04-30,ACC-9478,Hartley Security Group (Atyrau terminal),"Interest credited on current account — Oskemen unit, Q3 2025",6167869.58,USD
TXN-9479-0034,2025-04-30,ACC-9479,Foxridge Waste Systems Associates (Almaty office),Rent for regional office — instalment 3 2025,-4349616.86,USD
TXN-P1-0035,2025-04-30,ACC-7801,Bridgeport Telecom Holdings,"Water charge adjustment credit — Kyzylorda station, final call 2025",2149964.79,USD
TXN-P10-0035,2025-04-30,ACC-7810,Sterling Office Solutions Supply,"Quarterly interest coupon — Karaganda yard, Q1 2025",-6013823.74,USD
TXN-P7-0027,2025-04-30,ACC-7807,Bridgeport Office Supplies (Almaty office),Payroll for drivers — September,-8988242.94,USD
TXN-P8-0017,2025-04-30,ACC-7808,Hartley Printing Co (Ekibastuz block B),"Environmental emissions tax — Astana branch, H2",-2389464.20,USD
TXN-9471-0013,2025-05-01,ACC-9471,Bridgeport Supply LP (Oskemen unit),Marketing translation and localisation — period 01,-6619665.92,USD
TXN-9849-0020,2025-05-01,ACC-9849,Hartley Building Services Holdings,"Utility metering charge — Astana branch, December 2025",-459763.39,USD
TXN-P10-0025,2025-05-01,ACC-7810,Cedarville Leasing Enterprise,"Marketing photography and artwork — Aktobe hub, period 01",-471290.81,USD
TXN-P7-0006,2025-05-01,ACC-7807,Eastgate Leasing Trust Partners (Taraz site),"Interest credited on current account — Oskemen unit, Q3 2025",350168.96,USD
TXN-P9-0007,2025-05-01,ACC-7809,Cedarville Maintenance Associates Company,Printed marketing collateral run — Uralsk annex,-1560142.52,USD
TXN-9413-0018,2025-05-02,ACC-9413,Eastgate Janitorial Partners Works,"Payroll for administrative staff — Pavlodar block, instalment 1 2025",-521859.21,USD
TXN-9654-0026,2025-05-02,ACC-9654,Juniper Office Supplies LP (Pavlodar block),"Marketing research panel subscription — Atyrau terminal, H2 2025",-5658741.62,USD
TXN-B1-0029,2025-05-02,ACC-7201,Ironwood Property Holdings Enterprise,"Point-of-sale marketing materials — Ekibastuz block B, instalment 1",-1083896.21,USD
TXN-P10-0029,2025-05-02,ACC-7810,Glenwood Facilities Holdings (Pavlodar block),"Interest credited on current account — Atyrau terminal, January 2025",2226006.45,USD
TXN-P7-0046,2025-05-02,ACC-7807,Glenwood Property Trust (Kostanay centre),Marketing volume rebate — Turkistan point,7530287.69,USD
TXN-9306-0024,2025-05-03,ACC-9306,Hartley Catering LP (Uralsk annex),"Credit facility interest — Uralsk annex, February 2025",-2235221.91,USD
TXN-9434-0037,2025-05-03,ACC-9434,Hartley Payroll LLC (Kyzylorda station),Rent for training centre — Semey base 2025,-7890500.88,USD
TXN-9617-0014,2025-05-03,ACC-9617,Kingsley Property Partners (Kyzylorda station),Digital media buy — display — Taraz site,-249761.91,USD
TXN-9762-0028,2025-05-03,ACC-9762,Eastgate Utility LLC Works (Oskemen unit),"Tax assessment reversal — Karaganda yard, instalment 3 2025",226169.76,USD
TXN-P2-0025,2025-05-03,ACC-7802,Glenwood Office Supplies Services (Uralsk annex),"Sponsorship marketing of regional sports club — Kostanay centre, instalment 2",-2709060.20,USD
TXN-P4-0033,2025-05-03,ACC-7804,Ashford Consulting Partners Company,Municipal tax levy — Q4,-534014.43,USD
TXN-9813-0015,2025-05-04,ACC-9813,Cascade Water Utility (Karaganda yard),Interest true-up charge — period 03 2025,-1391202.74,USD
TXN-9927-0031,2025-05-04,ACC-9927,Bridgeport Telecom Holdings (Almaty office),Tax overpayment refunded — period 01,292291.65,USD
TXN-B4-0038,2025-05-04,ACC-7204,Cedarville Supply Corp (Pavlodar block),Overdraft interest — Astana branch,-140831.96,USD
TXN-P9-0038,2025-05-04,ACC-7809,Cedarville Insurance Group JSC,"Hourly staff payroll — Ekibastuz block B, instalment 2 2025",-10353895.21,EUR
TXN-B4-0003,2025-05-05,ACC-7204,Foxridge Waste Systems Associates Ltd,"Tax overpayment refunded — Uralsk annex, instalment 3",753049.60,USD
TXN-9041-0012,2025-05-06,ACC-9041,Dunmore Stationery Inc Ltd,"Business interruption insurance — Aktobe hub, period 01",-6221274.43,USD
TXN-9868-0009,2025-05-06,ACC-9868,Bridgeport Uniforms Trust,Environmental liability insurance — Astana branch,-3846030.35,USD
TXN-P4-0006,2025-05-06,ACC-7804,Glenwood Catering Group (Oskemen unit),Quarterly estimated tax — Kyzylorda station 2025,-2162141.22,USD
TXN-P4-0040,2025-05-06,ACC-7804,Eastgate Realty Associates Works (Almaty office),"Insurance broker rebate — Almaty office, H1 2025",8624275.06,USD
TXN-P7-0041,2025-05-06,ACC-7807,Stalwart Mutual Insurance Trading House,Rooftop lease — Zhezkazgan compound,-1088379.48,USD
TXN-P3-0024,2025-05-07,ACC-7803,Rheinland Katalyse Service GmbH,Catalyst regeneration servicing contract,-612884.25,EUR
TXN-P6-0019,2025-05-07,ACC-7806,Ashford Realty Ltd (Shymkent depot),"Insurance deductible recovery — Karaganda yard, instalment 1",1508915.83,USD
TXN-9248-0031,2025-05-08,ACC-9248,Eastgate Payroll Co,Excise tax payment — Oskemen unit,-632753.85,USD
TXN-9951-0023,2025-05-08,ACC-9951,Bridgeport Power Corp Partners (Oskemen unit),Payroll bonus disbursement — period 01,-106571.18,USD
TXN-P10-0055,2025-05-08,ACC-7810,Karaganda Distribution Group JSC,Warehouse handling sales settlement 2025,7204882.16,USD
TXN-P9-0055,2025-05-08,ACC-7809,Dunmore Stationery Inc Supply (Oskemen unit),"Marketing overbilling refund — Kostanay centre, November",1579816.38,USD
TXN-9479-0025,2025-05-09,ACC-9479,Ironwood Power Trust (Shymkent depot),VAT refund received — H1,315076.59,USD
TXN-P3-0033,2025-05-09,ACC-7803,Initech Software Licenses (Zhezkazgan compound),Interest income on treasury bills — instalment 3 2025,10156687.58,USD
TXN-9103-0020,2025-05-11,ACC-9103,Ironwood Realty Services Trading House,Revolver interest — Oskemen unit 2025,-8323972.98,USD
TXN-9456-0035,2025-05-11,ACC-9456,Beacon Tax Advisors JSC,Electricity for pumping station — Almaty office 2025,-5647351.09,USD
TXN-P6-0006,2025-05-11,ACC-7806,Foxridge Telecom LP Holding (Ekibastuz block B),"Default interest charge — Astana branch, January",-5793220.79,USD
TXN-9014-0033,2025-05-12,ACC-9014,Eastgate Cleaning Corp (Astana branch),Environmental emissions tax — Oskemen unit 2025,-9833527.38,USD
TXN-B1-0020,2025-05-12,ACC-7201,Irtysh Advisory Bureau,Advisory engagement on tariff structuring,-592296.10,USD
TXN-P4-0041,2025-05-12,ACC-7804,Ashford Waste Systems Co Service Centre,"Contractor payroll batch — Semey base, instalment 2 2025",-282672.77,USD
TXN-9309-0017,2025-05-13,ACC-9309,Foxridge Consulting Ltd (Turkistan point),Compressed air utility charge — Kyzylorda station,-529687.84,USD
TXN-9447-0041,2025-05-13,ACC-9447,Eastgate Security Holdings LLP,Telecom mobile fleet plan,-4730681.17,USD
TXN-9888-0014,2025-05-13,ACC-9888,Juniper Telecom Inc,Product launch ad campaign — Q1,-1026036.96,USD
TXN-9414-0010,2025-05-14,ACC-9414,Juniper Tax Advisory LLC Service Centre,Quarterly estimated tax — Q2,-1869215.50,USD
TXN-9729-0034,2025-05-14,ACC-9729,Ironwood Leasing Partners (Shymkent depot),Marketing agency creative fees 2025,-1964994.29,USD
TXN-B4-0021,2025-05-14,ACC-7204,Atyrau Pipeline Engineering LLP,Purchase of pipeline pumping equipment,-1527726.21,USD
TXN-P8-0015,2025-05-14,ACC-7808,KazMunayGas Exploration JSC,Drilling services sales settlement 2025,7884663.19,USD
TXN-9499-0047,2025-05-15,ACC-9499,Sterling Office Solutions (Karaganda yard),Property insurance premium — instalment 2,-8697242.95,USD
TXN-P3-0005,2025-05-15,ACC-7803,Juniper Supply Trust (Zhezkazgan compound),"Municipal water charge — Oskemen unit, period 03",-383631.48,USD
TXN-9324-0045,2025-05-16,ACC-9324,Ashford Leasing Inc Ltd (Turkistan point),Excise tax credit received — Astana branch,7487227.75,USD
